CodReserva;DNIPasajero;NroVuelo;FechaReserva;EstadoReserva
1;12345678;AA123;1001;Confirmada
1;23456789;AA123;1001;Confirmada
1;34567890;AA123;1001;Confirmada
2;12345678;AA123;1002;Confirmada
2;87654321;AA123;1002;Cancelada
3;12345678;AA123;1003;Confirmada
4;87654321;AA123;1004;Cancelada
5;11223344;AA123;1005;Confirmada
6;22334455;AA123;1006;Confirmada
7;33445566;AA123;1007;Cancelada
8;44332211;AA123;1008;Confirmada
9;55667788;AA123;1009;Confirmada
10;99887766;AA123;1010;Cancelada
11;12312312;AA123;1011;Confirmada
12;32132132;AA123;1012;Confirmada
13;45645645;AA123;1013;Cancelada
14;78978978;AA123;1014;Confirmada
15;60000001;AA123;1015;Confirmada
16;60000002;AA123;1016;Cancelada
17;60000003;AA123;1017;Confirmada
18;60000004;AA123;1018;Confirmada
19;60000005;AA123;1019;Cancelada
20;60000006;AA123;1020;Confirmada
21;60000007;AA123;1021;Confirmada
22;60000008;AA123;1022;Cancelada
23;60000009;AA123;1023;Confirmada
24;60000010;AA123;1024;Confirmada
25;60000011;AA123;1025;Cancelada
26;60000012;AA123;1026;Confirmada
27;60000013;AA123;1027;Confirmada
28;60000014;AA123;1028;Cancelada
29;60000015;AA123;1029;Confirmada
30;60000016;AA123;1030;Confirmada
31;60000017;AA123;1031;Cancelada
32;60000018;AA123;1032;Confirmada
33;60000019;AA123;1033;Confirmada
34;60000020;AA123;1034;Cancelada
35;60000021;AA123;1035;Confirmada
36;60000022;AA123;1036;Confirmada
37;60000023;AA123;1037;Cancelada
38;60000024;AA123;1038;Confirmada
39;60000025;AA123;1039;Confirmada
40;60000026;AA123;1040;Cancelada
41;60000027;AA123;1041;Confirmada
42;60000028;AA123;1042;Confirmada
43;60000029;AA123;1043;Cancelada
